#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01779     2.01779           0
           2     2.13115     2.07447   0.0400786
           3      2.0659     2.07161   0.0268207
           4     1.93586     2.03768   0.0356155
           5     1.81327     1.99279   0.0492267
           6      1.7114      1.9459   0.0592936
           7     1.64138     1.90239   0.0648466
           8     1.59126      1.8635   0.0674018
           9     1.55338     1.82904   0.0681538
          10     1.52878     1.79902     0.06763
          11     1.51903     1.77357   0.0660982
          12     1.49472     1.75033   0.0645455
          13     1.45515     1.72762   0.0634486
          14     1.44165      1.7072   0.0621177
          15     1.45399     1.69032   0.0602265
          16      1.4528     1.67547    0.058263
          17     1.44763     1.66207   0.0563562
          18     1.45075     1.65033   0.0544344
          19     1.45369     1.63998    0.052544
          20     1.46646      1.6313    0.050628
          21     1.48842      1.6245   0.0486722
          22     1.47626     1.61776   0.0469239
          23     1.47669     1.61163   0.0452829
          24       1.483     1.60627   0.0437121
          25     1.47819     1.60114   0.0422627
          26     1.47232     1.59619   0.0409267
          27     1.43325     1.59016   0.0398533
          28     1.42293     1.58418   0.0388749
          29     1.41392     1.57831   0.0379752
          30     1.41135     1.57275   0.0371149
          31     1.41889     1.56778   0.0362479
          32     1.41834     1.56311   0.0354148
          33     1.39931     1.55815   0.0346877
          34     1.38933     1.55318    0.034021
          35     1.40139     1.54885   0.0333243
          36     1.41418     1.54511   0.0326079
          37     1.39952     1.54117   0.0319631
          38      1.4082     1.53767   0.0313129
          39     1.41327     1.53448    0.030672
          40     1.42088     1.53164   0.0300364
          41     1.40445     1.52854   0.0294636
          42     1.40903     1.52569   0.0288992
          43     1.39744     1.52271   0.0283806
          44      1.3952     1.51981   0.0278832
          45     1.39633     1.51707   0.0273982
          46     1.40982     1.51474   0.0269016
          47     1.41689     1.51266   0.0264097
          48     1.42576     1.51085   0.0259215
          49     1.42323     1.50906   0.0254541
          50     1.41587     1.50719   0.0250131
          51     1.41828     1.50545   0.0245833
          52     1.40303     1.50348   0.0241894
          53     1.41459      1.5018    0.023791
          54     1.38958     1.49973    0.023441
          55      1.4082     1.49806   0.0230738
          56      1.4004     1.49632   0.0227276
          57     1.38779     1.49441   0.0224085
          58     1.37563     1.49237   0.0221155
          59      1.3752     1.49038   0.0218297
          60      1.3599     1.48821   0.0215739
          61     1.33865     1.48575   0.0213591
          62     1.33064     1.48325   0.0211606
          63     1.35654     1.48124   0.0209201
          64     1.37819     1.47963   0.0206551
          65     1.38359     1.47815   0.0203901
          66     1.39837     1.47694   0.0201169
          67      1.4106     1.47595    0.019841
          68     1.41216     1.47502   0.0195714
          69     1.38685     1.47374   0.0193295
          70     1.39464     1.47261   0.0190863
          71     1.38616     1.47139   0.0188563
          72     1.36913     1.46997   0.0186478
          73     1.34144     1.46821   0.0184753
          74     1.32852     1.46632   0.0183218
          75     1.31498      1.4643   0.0181883
          76     1.31592     1.46235   0.0180535
          77     1.30035     1.46025   0.0179412
          78     1.30213     1.45822   0.0178253
          79     1.30836     1.45632   0.0177003
          80     1.32332     1.45466    0.017557
          81     1.33782     1.45322   0.0173994
          82        1.33     1.45172    0.017252
          83     1.32217     1.45015   0.0171146
          84     1.32086     1.44862   0.0169799
          85      1.3113       1.447   0.0168568
          86     1.31697     1.44549   0.0167285
          87      1.3274     1.44413   0.0165912
          88     1.33863     1.44293   0.0164459
          89     1.35557     1.44195   0.0162904
          90     1.34964     1.44092   0.0161416
          91      1.3297      1.4397   0.0160105
          92     1.33492     1.43856   0.0158769
          93     1.34119     1.43752   0.0157407
          94     1.33462     1.43642   0.0156112
          95     1.34448     1.43545   0.0154769
          96     1.33732     1.43443   0.0153494
          97      1.3203     1.43326   0.0152362
          98     1.30948     1.43199   0.0151329
          99     1.30536     1.43071   0.0150341
         100     1.33253     1.42973   0.0149157
