#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02669     3.02669           0
           2     3.19673     3.11171   0.0601179
           3     3.09885     3.10742   0.0402311
           4     2.90379     3.05651   0.0534232
           5     2.71991     2.98919   0.0738401
           6      2.5671     2.91884   0.0889405
           7     2.46207     2.85359   0.0972698
           8     2.38689     2.79525    0.101103
           9     2.33008     2.74357    0.102231
          10     2.29317     2.69853    0.101445
          11     2.27855     2.66035   0.0991473
          12     2.24208     2.62549   0.0968182
          13     2.18273     2.59143   0.0951728
          14     2.16247     2.56079   0.0931765
          15     2.18098     2.53547   0.0903397
          16      2.1792     2.51321   0.0873946
          17     2.17144      2.4931   0.0845344
          18     2.17613     2.47549   0.0816516
          19     2.18054     2.45997    0.078816
          20      2.1997     2.44696    0.075942
          21     2.23263     2.43675   0.0730083
          22     2.21439     2.42664   0.0703859
          23     2.21503     2.41744   0.0679243
          24      2.2245      2.4094   0.0655681
          25     2.21729     2.40172   0.0633941
          26     2.20848     2.39429     0.06139
          27     2.14987     2.38523     0.05978
          28      2.1344     2.37627   0.0583124
          29     2.12088     2.36747   0.0569628
          30     2.11703     2.35912   0.0556723
          31     2.12834     2.35168   0.0543719
          32      2.1275     2.34467   0.0531222
          33     2.09896     2.33722   0.0520316
          34     2.08399     2.32978   0.0510315
          35     2.10209     2.32327   0.0499864
          36     2.12127     2.31766   0.0489118
          37     2.09929     2.31176   0.0479446
          38     2.11231     2.30651   0.0469693
          39     2.11991     2.30172    0.046008
          40     2.13131     2.29746   0.0450547
          41     2.10668     2.29281   0.0441954
          42     2.11354     2.28854   0.0433488
          43     2.09616     2.28407   0.0425709
          44      2.0928     2.27972   0.0418247
          45      2.0945     2.27561   0.0410973
          46     2.11473     2.27211   0.0403525
          47     2.12534     2.26899   0.0396145
          48     2.13864     2.26627   0.0388822
          49     2.13484     2.26359   0.0381811
          50      2.1238     2.26079   0.0375197
          51     2.12743     2.25818    0.036875
          52     2.10455     2.25522    0.036284
          53     2.12189     2.25271   0.0356865
          54     2.08437     2.24959   0.0351616
          55      2.1123     2.24709   0.0346108
          56      2.1006     2.24448   0.0340914
          57     2.08168     2.24162   0.0336128
          58     2.06345     2.23855   0.0331733
          59      2.0628     2.23557   0.0327445
          60     2.03985     2.23231   0.0323608
          61     2.00798     2.22863   0.0320386
          62     1.99596     2.22488   0.0317409
          63     2.03481     2.22186   0.0313801
          64     2.06729     2.21945   0.0309826
          65     2.07538     2.21723   0.0305851
          66     2.09755     2.21542   0.0301754
          67      2.1159     2.21393   0.0297616
          68     2.11823     2.21252   0.0293571
          69     2.08027     2.21061   0.0289942
          70     2.09195     2.20891   0.0286295
          71     2.07924     2.20709   0.0282844
          72      2.0537     2.20496   0.0279717
          73     2.01216     2.20231   0.0277129
          74     1.99278     2.19948   0.0274827
          75     1.97246     2.19646   0.0272825
          76     1.97387     2.19353   0.0270802
          77     1.95053     2.19037   0.0269118
          78      1.9532     2.18733    0.026738
          79     1.96254     2.18449   0.0265505
          80     1.98498     2.18199   0.0263355
          81     2.00673     2.17983   0.0260991
          82       1.995     2.17757   0.0258779
          83     1.98325     2.17523   0.0256719
          84     1.98129     2.17292   0.0254699
          85     1.96695      2.1705   0.0252852
          86     1.97545     2.16823   0.0250927
          87      1.9911      2.1662   0.0248868
          88     2.00794      2.1644   0.0246689
          89     2.03336     2.16293   0.0244356
          90     2.02445     2.16139   0.0242125
          91     1.99454     2.15955   0.0240157
          92     2.00237     2.15785   0.0238154
          93     2.01179     2.15627    0.023611
          94     2.00192     2.15463   0.0234168
          95     2.01673     2.15318   0.0232153
          96     2.00599     2.15165   0.0230241
          97     1.98045     2.14988   0.0228542
          98     1.96422     2.14799   0.0226994
          99     1.95803     2.14607   0.0225511
         100     1.99879      2.1446   0.0223736
