#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59026     1.59026           0
           2      1.5893     1.58978  0.00033824
           3     1.59338     1.59098  0.00100573
           4     1.59438     1.59183  0.00105419
           5     1.59513     1.59249   0.0010295
           6     1.59439     1.59281 0.000905145
           7     1.59518     1.59315 0.000836812
           8     1.59563     1.59346 0.000787674
           9     1.59583     1.59372 0.000743053
          10     1.59571     1.59392 0.000694832
          11     1.59633     1.59414 0.000665338
          12     1.59667     1.59435 0.000642327
          13     1.59676     1.59453 0.000619054
          14     1.59551      1.5946 0.000578706
          15     1.59693     1.59476 0.000560442
          16     1.59542      1.5948 0.000526949
          17      1.5964     1.59489  0.00050423
          18     1.59569     1.59494 0.000478129
          19     1.59613       1.595  0.00045706
          20     1.59535     1.59502 0.000434547
          21     1.59629     1.59508 0.000418035
          22     1.59579     1.59511 0.000400271
          23     1.59594     1.59515 0.000384469
          24     1.59573     1.59517 0.000369226
          25     1.59641     1.59522 0.000357787
          26     1.59616     1.59526 0.000345836
          27     1.59679     1.59531 0.000337658
          28      1.5964     1.59535 0.000327806
          29     1.59614     1.59538 0.000317634
          30     1.59667     1.59542 0.000309955
          31     1.59602     1.59544  0.00030055
          32     1.59646     1.59547 0.000292837
          33     1.59639      1.5955 0.000285265
          34     1.59618     1.59552 0.000277581
          35      1.5959     1.59553 0.000269863
          36     1.59681     1.59557 0.000264676
          37     1.59607     1.59558 0.000257872
          38     1.59607     1.59559 0.000251404
          39     1.59563      1.5956  0.00024496
          40     1.59717     1.59563 0.000241976
          41      1.5955     1.59563 0.000236096
          42     1.59644     1.59565  0.00023125
          43     1.59652     1.59567 0.000226758
          44     1.59571     1.59567 0.000221606
          45     1.59602     1.59568 0.000216819
          46     1.59589     1.59568 0.000212155
          47     1.59608     1.59569  0.00020781
          48     1.59625      1.5957 0.000203806
          49     1.59591     1.59571  0.00019969
          50     1.59601     1.59571 0.000195786
          51     1.59574     1.59572 0.000191947
          52     1.59641     1.59573 0.000188716
          53     1.59596     1.59573 0.000185204
          54     1.59595     1.59574 0.000181817
          55     1.59621     1.59575 0.000178716
          56     1.59621     1.59575 0.000175713
          57     1.59631     1.59576 0.000172905
          58     1.59617     1.59577 0.000170069
          59     1.59723      1.5958 0.000168967
          60     1.59598      1.5958 0.000166178
          61     1.59667     1.59581 0.000164074
          62     1.59589     1.59581 0.000161433
          63     1.59598     1.59582 0.000158893
          64     1.59637     1.59583 0.000156643
          65     1.59644     1.59583  0.00015452
          66     1.59599     1.59584 0.000152198
          67     1.59702     1.59585 0.000150951
          68     1.59631     1.59586  0.00014888
          69     1.59683     1.59588 0.000147387
          70     1.59715     1.59589 0.000146398
          71     1.59636      1.5959 0.000144481
          72     1.59685     1.59591 0.000143072
          73     1.59688     1.59593 0.000141723
          74     1.59686     1.59594 0.000140372
          75     1.59661     1.59595 0.000138786
          76     1.59682     1.59596 0.000137429
          77     1.59689     1.59597 0.000136176
          78     1.59654     1.59598 0.000134623
          79     1.59665     1.59599 0.000133185
          80     1.59656     1.59599 0.000131715
          81     1.59705     1.59601 0.000130727
          82     1.59636     1.59601 0.000129204
          83     1.59716     1.59603  0.00012839
          84     1.59628     1.59603 0.000126897
          85     1.59645     1.59603 0.000125502
          86     1.59667     1.59604 0.000124259
          87     1.59676     1.59605 0.000123107
          88     1.59622     1.59605 0.000121722
          89     1.59668     1.59606 0.000120561
          90     1.59666     1.59607 0.000119407
          91     1.59659     1.59607 0.000118234
          92     1.59633     1.59607 0.000116982
          93     1.59717     1.59609  0.00011632
          94     1.59624     1.59609 0.000115094
          95     1.59633     1.59609 0.000113911
          96     1.59626     1.59609 0.000112738
          97     1.59677      1.5961 0.000111792
          98     1.59661      1.5961 0.000110774
          99     1.59628     1.59611 0.000109669
         100      1.5963     1.59611 0.000108589
